day,phase,goal,commands,artifacts,evidence_gates,claim_ladder_levels,paper_claims,claim_discipline,exit_criteria
1,Data Readiness,Generate and inspect the real data pipeline.,python3 scripts/init_data_source_local_config.py --template configs/data_sources_real.template.json --output configs/data_sources_real.local.json --report-json outputs/data_sources/local_config_init.json --report-md outputs/data_sources/local_config_init.md; python3 scripts/build_data_pipeline.py --config configs/data_sources_real.local.json --pipeline-output configs/pipeline_data_real.generated.json --manifest-output configs/manifest_data_real.generated.json; python3 scripts/run_experiment_pipeline.py --config configs/pipeline_data_real.generated.json --dry-run,outputs/data_sources/local_config_init.json; configs/pipeline_data_real.generated.json; configs/manifest_data_real.generated.json,data readiness audit has no missing files; schema profiles exist for every raw source,metric-support; judge-utility support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",RubricBench/RewardBench/JudgeBench processed files exist and schema profiles are reviewed.
2,Data Readiness,Run data download/normalization and inspect schema profiles.,python3 scripts/run_experiment_pipeline.py --config configs/pipeline_data_real.generated.json; python3 scripts/audit_experiment.py --manifest configs/manifest_data_real.generated.json --output outputs/data_readiness_audit.json,outputs/data_profiles/*.json; outputs/data_readiness_audit.json,data readiness audit has no missing files; schema profiles exist for every raw source,metric-support; judge-utility support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",RubricBench/RewardBench/JudgeBench processed files exist and schema profiles are reviewed.
3,Data Readiness,Fix field mappings and lock processed data paths.,python3 scripts/profile_dataset_schema.py --input data/raw/rubricbench_raw.jsonl --output outputs/data_profiles/rubricbench_schema.json,data/processed/rubricbench_gold.jsonl; data/processed/rewardbench_pref.jsonl,data readiness audit has no missing files; schema profiles exist for every raw source,metric-support; judge-utility support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",RubricBench/RewardBench/JudgeBench processed files exist and schema profiles are reviewed.
4,Minimal Motivation,Generate the minimal claim pipeline.,python3 scripts/build_minimal_claim_pipeline.py --config configs/minimal_claim_real.template.json --pipeline-output configs/pipeline_minimal_claim.generated.json --manifest-output configs/manifest_minimal_claim.generated.json --evidence-output configs/evidence_minimal_claim.generated.json --result-card-output configs/result_card_minimal_claim.generated.json; python3 scripts/run_experiment_pipeline.py --config configs/pipeline_minimal_claim.generated.json --dry-run,configs/pipeline_minimal_claim.generated.json; configs/evidence_minimal_claim.generated.json; configs/result_card_minimal_claim.generated.json,minimal Evidence Matrix C1 is safe_to_claim; mean_blind passes the configured motivation threshold,motivation,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",Single-model Cov/Blind and threshold sweep are exported to paper artifacts.
5,Minimal Motivation,Run base evaluation-criteria elicitation and BSC diagnosis.,python3 scripts/run_experiment_pipeline.py --config configs/pipeline_minimal_claim.generated.json --only init_data_source_local_config --only data_source_report --only validate_rubricbench_gold --only validate_rubricbench_queries --only bsc_gold_sanity --only sample_queries --only preflight --only api_budget --only minimal_api_handoff; python3 scripts/check_minimal_api_handoff_ready.py --handoff outputs/minimal_claim/base/handoff/api_handoff.json; python3 scripts/run_experiment_pipeline.py --config configs/pipeline_minimal_claim.generated.json --from-stage audit --to-stage paper_asset_index_check_post_sync; python3 scripts/run_experiment_pipeline.py --config configs/pipeline_minimal_claim.generated.json --from-stage generate_model_rubrics --to-stage result_card --require-ready-handoff outputs/minimal_claim/base/handoff/api_handoff.json,outputs/minimal_claim/base/handoff/api_handoff.json; outputs/minimal_claim/base/bsc/summary.json; outputs/minimal_claim/base/bsc_sweep/threshold_sweep.csv,minimal Evidence Matrix C1 is safe_to_claim; mean_blind passes the configured motivation threshold,motivation,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",Single-model Cov/Blind and threshold sweep are exported to paper artifacts.
6,Minimal Motivation,Review motivation claim and update paper introduction.,python3 scripts/check_submission_readiness.py --audit-report outputs/minimal_claim/base/audit_report.json --evidence-matrix outputs/minimal_claim/base/evidence/evidence_matrix.json --paper-dir paper --output-json outputs/minimal_claim/base/readiness.json --output-md outputs/minimal_claim/base/readiness.md,outputs/minimal_claim/base/evidence/evidence_matrix.md; paper/sections/introduction.tex,minimal Evidence Matrix C1 is safe_to_claim; mean_blind passes the configured motivation threshold,motivation,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",Single-model Cov/Blind and threshold sweep are exported to paper artifacts.
7,SFT Data And Training,Generate multi-teacher evaluation criteria.,python3 scripts/estimate_api_budget.py --input data/processed/splits/rubricbench_gold_train_seed.jsonl --providers configs/providers.local.jsonl --output outputs/api_budget/teacher_rubrics_budget.json --output-md outputs/api_budget/teacher_rubrics_budget.md --strict; python3 scripts/generate_teacher_rubrics.py --input data/processed/splits/rubricbench_gold_train_seed.jsonl --providers configs/providers.local.jsonl --output data/processed/teacher_rubrics_raw.jsonl --require-budget-report outputs/api_budget/teacher_rubrics_budget.json --resume --sleep 0.5,data/processed/teacher_rubrics_raw.jsonl,SFT data stats show non-zero filtered evaluation criteria; LLaMA-Factory dataset registration is present,method-support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",SFT checkpoint is available and registered as sft_only generator.
8,SFT Data And Training,Filter verifier and build SFT/proxy-gold data.,python3 scripts/estimate_api_budget.py --input data/processed/teacher_rubrics_raw.jsonl --providers configs/verifier.local.jsonl --unit-field rubrics --output outputs/api_budget/meta_verifier_budget.json --output-md outputs/api_budget/meta_verifier_budget.md --strict; python3 scripts/run_experiment_pipeline.py --config configs/pipeline_real_run.generated.json --from-stage filter_teacher_rubrics --to-stage filter_proxy_gold_rewardbench2_downstream_overlap,data/processed/blindspot_sft.unfiltered.jsonl; data/processed/blindspot_sft.jsonl; data/processed/proxy_gold.unfiltered.jsonl; data/processed/proxy_gold.jsonl; outputs/sft_stats.jsonl; outputs/sft_data/proxy_gold_build_report.json; outputs/contamination_audit/blindspot_sft_rewardbench2_holdout_filter.json; outputs/contamination_audit/proxy_gold_rewardbench2_holdout_filter.json,SFT data stats show non-zero filtered evaluation criteria; LLaMA-Factory dataset registration is present,method-support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",SFT checkpoint is available and registered as sft_only generator.
9,SFT Data And Training,Register SFT data and generate training commands.,python3 scripts/register_llamafactory_dataset.py --dataset-info data/processed/dataset_info.json --name blindspot_sft --file-name blindspot_sft.jsonl --overwrite; python3 scripts/make_training_commands.py --config configs/training_commands.example.json --output-dir outputs/training_commands,outputs/training_commands/run_sft.sh,SFT data stats show non-zero filtered evaluation criteria; LLaMA-Factory dataset registration is present,method-support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",SFT checkpoint is available and registered as sft_only generator.
10,SFT Data And Training,Run SFT and record checkpoint path.,bash outputs/training_commands/run_sft.sh,outputs/sft/checkpoint-final,SFT data stats show non-zero filtered evaluation criteria; LLaMA-Factory dataset registration is present,method-support,,"Use minimal C1/C2 only for Section 2 motivation and robustness; do not treat them as real-run method-result gates.; Do not write SFT+GRPO coverage, dimension-level recovery, downstream utility, ablation, or semantic-space claims until the corresponding real C0-C14 evidence rows are safe_to_claim.; A BSC coverage change alone is metric evidence, not dimension-level recovery or judge-utility evidence.",SFT checkpoint is available and registered as sft_only generator.
